"","ID","adj.P.Val","P.Value","t","B","logFC","SPOT_ID"
"104252_at","104252_at",0.0843439907240324,0.00100546815171819,-3.73825059909182,-0.693931402265886,-0.160888922066791,104252
"27404_at","27404_at",0.0843439907240324,0.00100769403493468,-3.73737066875787,-0.695920209431627,-0.0971319250738731,27404
"207521_at","207521_at",0.0855467345961929,0.00102845163306355,-3.72925555735354,-0.714257293362976,-0.141862314915097,207521
"70894_at","70894_at",0.0864807614286777,0.00105428458725847,3.71937802877144,-0.736565498498687,0.220878304970853,70894
"244233_at","244233_at",0.0864807614286777,0.00105541431890989,-3.71895150598345,-0.737528510387073,-0.123428614027011,244233
"74747_at","74747_at",0.0864807614286777,0.00106137627898669,3.71670800601515,-0.742593544438549,0.302048323628958,74747
"68192_at","68192_at",0.0864807614286777,0.00106824043608108,-3.71414028004654,-0.748389768307011,-0.0916422901336613,68192
"68118_at","68118_at",0.0864807614286777,0.00107880818379858,-3.71021861939679,-0.757240627349148,-0.160056950997538,68118
"269344_at","269344_at",0.0864807614286777,0.00108479762537099,3.70801266538229,-0.762218399013903,0.228390376051026,269344
"107373_at","107373_at",0.0864807614286777,0.00108958351077753,-3.7062585660457,-0.766176098355151,-0.152822894689459,107373
"66412_at","66412_at",0.0864807614286777,0.00109134174741984,3.70561604466726,-0.76762569082031,0.116194151964585,66412
"386612_at","386612_at",0.086799920483659,0.00110565113683758,-3.70042435907231,-0.779336657252755,-0.1853936336497,386612
"19041_at","19041_at",0.086799920483659,0.00110833231800371,3.69945892170919,-0.781514016497635,0.187915365137441,19041
"19165_at","19165_at",0.0870764947669958,0.00112799652875931,-3.69244751132019,-0.797323189652827,-0.101701637831177,19165
"70753_at","70753_at",0.0870764947669958,0.00112988800770194,3.69177942625339,-0.79882923023892,0.186723448976149,70753
"19727_at","19727_at",0.0870764947669958,0.00113248502904681,-3.69086392353628,-0.800892918403366,-0.165474301673982,19727
"76967_at","76967_at",0.0870764947669958,0.00114752806880834,-3.68560112963422,-0.812753900028151,-0.105703162129226,76967
"230279_at","230279_at",0.0870764947669958,0.00114911242725107,-3.6850507879849,-0.813994012166605,-0.0970780902340469,230279
"14219_at","14219_at",0.0870764947669958,0.00116085428768813,3.68099519228306,-0.823131418860187,0.159845673925289,14219
"230125_at","230125_at",0.0870764947669958,0.00116893010712958,3.67822912064009,-0.829362194488548,0.103126219193741,230125
"54396_at","54396_at",0.0870764947669958,0.00116955161483958,-3.67801702364778,-0.829839915049978,-0.12360012917691,54396
"100561_at","100561_at",0.0870764947669958,0.00117038299418005,3.6777334782026,-0.830478554223199,0.114486022187499,100561
"170439_at","170439_at",0.0886062527713701,0.00119756061466682,3.66857157568165,-0.851108267950928,0.111812200196012,170439
"76454_at","76454_at",0.0890910448271091,0.00121076539415575,3.66419343066801,-0.860962362337992,0.1408190780177,76454
"319582_at","319582_at",0.0908873755690113,0.00124196458550844,-3.65403228620355,-0.883822169334196,-0.221114985075493,319582
"69433_at","69433_at",0.0919765408089359,0.00126371591314548,3.6470951290605,-0.899420484757688,0.20887865908352,69433
"20765_at","20765_at",0.0934409210438785,0.00129081320139767,3.63861484191435,-0.918479183284921,0.132932923987675,20765
"11988_at","11988_at",0.0935971754290399,0.00130367001221212,3.63465203735195,-0.927381670809423,0.0951810763133754,11988
"53972_at","53972_at",0.0935971754290399,0.00130694980624481,3.63364724787124,-0.929638578976517,0.216800121866195,53972
"100039864_at","100039864_at",0.0951982970346981,0.0013364157588503,3.62472931673741,-0.949663108911648,0.145782471824361,100039864
"12660_at","12660_at",0.0957864453658812,0.00135182483379268,-3.6201421124584,-0.959958754196852,-0.299285694530364,12660
"51897_at","51897_at",0.0968988228907471,0.00137475928533766,-3.61340857629159,-0.975066008656051,-0.0983872320698134,51897
"14218_at","14218_at",0.097388557544787,0.00138897957669163,-3.60928852161166,-0.984306344140432,-0.114444928508199,14218
"54369_at","54369_at",0.0976162699528434,0.00139951641509453,-3.60626221948744,-0.991092011810702,-0.109224643080697,54369
"14388_at","14388_at",0.0978069286906421,0.00141196616335222,3.60271511516039,-0.999043669772906,0.0976068150739557,14388
"13641_at","13641_at",0.0978069286906421,0.00141685664321868,-3.60133011646843,-1.0021479459573,-0.0964516224384395,13641
"20776_at","20776_at",0.0980173230027849,0.00142722356522872,-3.59840957574889,-1.00869295905513,-0.15742317412664,20776
"226744_at","226744_at",0.0986297166259065,0.00144923211018931,3.59227758621401,-1.02243065772844,0.132268098158963,226744
"67724_at","67724_at",0.0986297166259065,0.00145820511425374,-3.58980364481412,-1.02797146765661,-0.149816966281834,67724
"13421_at","13421_at",0.0986297166259065,0.00147062144570974,-3.58640479323158,-1.03558222182961,-0.0904695620206231,13421
"100637_at","100637_at",0.0986297166259065,0.00147760108760749,3.58450648601084,-1.03983215409972,0.104829267115945,100637
"14783_at","14783_at",0.0986297166259065,0.00147893185412452,3.58414554281897,-1.04064017046885,0.0972300246409445,14783
"80890_at","80890_at",0.0986297166259065,0.00148042065681534,-3.58374211181926,-1.04154327700185,-0.132262048318354,80890
"106052_at","106052_at",0.0986297166259065,0.00149731974743767,-3.57919045935437,-1.05173068062495,-0.100606282896819,106052
"18708_at","18708_at",0.0986297166259065,0.00150985399210528,3.57584677955401,-1.05921235233382,0.0858867942733523,18708
"233067_at","233067_at",0.0986297166259065,0.00151078064972782,-3.57560065961624,-1.05976298983581,-0.374297857483015,233067
"378425_at","378425_at",0.0986297166259065,0.00151516199148336,-3.57443897193832,-1.06236187305572,-0.180961009941474,378425
"103142_at","103142_at",0.0986297166259065,0.00151715364582861,3.57391198163116,-1.06354076518325,0.093470682451648,103142
